"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29"
"1";-0,456348008968259;-0,448159131184344;-0,513204560650629;-0,388019232804076;-0,264834129418307;-0,647231247371345;-2,24661340894417;-2,1912648452421;-0,892507677693952;-0,050466267467385;-0,457613666907383;-0,435611147683955;0,246791479652967;-0,871309265322099;-1,07852698712437;1,03334231396822;-1,49647663209078;0,0789595153361137;1,00362741027422;-1,21938207868123;-1,35351110788244;0,736010454935741;-0,0109218906628895;0,0972070243219348;-0,544813629935459;-0,388019232804076;-0,289792009718315;-0,983057689248022;1,24831400127208
"2";-0,463230364280692;-0,453585637035264;-0,519793328400677;-0,397978963026607;-0,278024557111716;-0,749485724495257;-2,1986523549223;-2,2136601927321;-1,03934815596952;-0,0211199970114515;-0,463155547083059;-0,449915698990609;0,223117252287991;-0,783336023893912;-1,03002346925902;1,07299298237019;-1,51741848527036;0,138147835406068;1,08808277533867;-1,13824218047107;-1,35351110788244;0,596650685310329;-0,0125211429638599;0,0791999747593843;-0,541747170030035;-0,397978963026607;-0,295302416712389;-0,983057689248022;2,27005592831804
"3";-0,47899119679834;-0,469055416083825;-0,533822628676131;-0,411219926968166;-0,290444067011517;-1,183083780149;-2,31672453436502;-2,25631253869936;-1,43461613187738;0,125556296599492;-0,478164104032986;-0,50890952717525;0,24302678436799;-0,773384813000175;-0,989097598396904;1,14072443817017;-1,57625827089428;0,455501145977511;1,38433602313796;-0,894822485840587;-1,07577592098919;0,457290915684917;-0,0011313079670116;-0,0399282555965417;-0,468152132299934;-0,411219926968166;-0,301306257312854;-0,983057689248022;2,18048728902509
"4";-0,4964939442327;-0,487412070850726;-0,550324517252226;-0,425947086733578;-0,303385792953957;-1,3234754445591;-2,47631128992734;-2,32386776829323;-1,60749393648716;0,15523291906807;-0,531679463662524;-0,570575087100462;0,269990253780703;-0,820407901438468;-0,966389115666761;1,22777977480091;-1,63377981735223;0,7177508422733;1,61589003756161;-0,894822485840587;-1,21464351443581;0,317931146059505;0,00174573997242184;-0,0682018166845239;-0,468152132299934;-0,425947086733578;-0,307281755360151;-0,983057689248022;2,20340755188283
"5";-0,508602044295246;-0,504872935332216;-0,565486132268634;-0,44098735434477;-0,318244567682237;-1,30933658274781;-2,61325212560395;-2,40660099485611;-1,67863864879625;0,0346544344554793;-0,565874043469876;-0,567919949966978;0,260588906881506;-0,889042426740231;-0,962865269062056;1,30861687310087;-1,66061034967205;0,547129770201165;1,61589003756161;-0,894822485840587;-1,35351110788244;0,178571376434093;-0,0132256676975155;-0,48046168111881;-0,472991351038068;-0,44098735434477;-0,313492189269868;-0,983057689248022;3,27675726418251
"6";-0,525990483894715;-0,538029397158689;-0,603234716397056;-0,460793345189063;-0,320546256694217;-1,87824222242811;-3,00048472856032;-2,55391263057883;-2,12411001941574;0,642006609689082;-0,589591269267295;-0,77434026748843;0,42532712165653;-0,927684450267864;-0,968290334405541;1,43195858585;-1,7754025548448;1,32562293655745;2,07856689683208;-1,62508156973204;-1,35351110788244;1,4328093030628;0,0152470653148489;-0,540034645215813;-0,480713380660257;-0,460793345189063;-0,321545230612193;-0,983057689248022;3,16646895555341
"7";-0,566016993063007;-0,608641011214544;-0,713473033702885;-0,491981275462761;-0,274852193257078;-2,52725294843732;-3,98436793170204;-2,8778850234221;-2,68013059934478;0,898855299514565;-0,686885797822599;-0,947604560055476;0,651657798211187;-1,05312612266991;-0,999392935436182;1,5663590122366;-1,86451145295566;1,33048989825791;2,2689790657418;-1,62508156973204;-1,35351110788244;1,4328093030628;0,0323393884752367;-0,626732832496594;-0,498156366496759;-0,491981275462761;-0,334590317554462;-0,983057689248022;3,0087080266628
"8";-0,604542145593974;-0,654441034628247;-0,775224133947521;-0,518486238527996;-0,267024497043449;-1,7605835187383;-4,5143792204376;-3,24810006200237;-2,07787415841994;1,79895441661357;-0,747880168996207;-1,27898226892161;1,11890254062777;-0,911061361829013;-0,993965988840305;1,71095470072007;-1,9491074000996;1,33928432085849;2,45868643428884;-1,62508156973204;-1,35351110788244;1,4328093030628;0,0142190917814503;-1,01275259181522;-0,540581467869644;-0,518486238527996;-0,346475408676016;-0,983057689248022;3,72164219691385
"9";-0,637124996797923;-0,683263600798081;-0,81586585181472;-0,540714336113918;-0,271280718493048;-1,32351373055622;-4,73659931164929;-3,59082710106264;-1,68304297452817;0,313967061140266;-0,738245046016011;-0,82191700599908;1,12864008464765;-0,711240565437169;-0,946993352884021;1,83640124615338;-1,92612974853489;1,06230631527697;2,37415189910856;-1,54394167152188;-1,35351110788244;1,29344953343739;-0,00682783494832465;-0,569330455831978;-0,57876405910524;-0,540714336113918;-0,358228689851501;-0,983057689248022;3,72821491210638
"10";-0,662369967436987;-0,688028145415176;-0,83404262147292;-0,55463441135042;-0,281009038661231;-0,747194886859331;-4,54727997128618;-3,82534641647695;-0,941420744380277;0,292659356325168;-0,713988792359561;-0,791598658856086;1,13159631968126;-0,472726345782376;-0,858529056855667;1,92988781413387;-1,85195501206009;0,820590813575868;2,1537370457562;-1,30052197689139;-1,07577592098919;1,15408976381198;-0,00453632942773198;-0,218872918034705;-0,613128391217275;-0,55463441135042;-0,368791242317286;-0,983057689248022;3,21676732115627
"11";-0,694780503845071;-0,705224354885935;-0,856867169550041;-0,575922332244101;-0,300714921745047;-0,990453304842523;-4,56613709061374;-4,01691242674428;-1,20458424969886;0,170649346324471;-0,712253796438303;-0,753115765027625;1,09949367774926;-0,307790571494522;-0,752569140666927;2,01497834471227;-1,8582443512024;0,663898573659152;2,13726858688064;-1,30052197689139;-1,21464351443581;1,01472999418657;-0,00358506310026624;-0,517565679882103;-0,644056290118108;-0,575922332244101;-0,380340661995874;-0,983057689248022;2,91151145137516
